customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
15,64,Male,Coat,Outerwear,53,"New York",L,Teal,Winter,4.7,Yes,"Free Shipping",Yes,34,"Debit Card",Weekly,Senior,NULL
16,64,Male,Skirt,Clothing,81,"Rhode Island",M,Teal,Winter,2.8,Yes,"Store Pickup",Yes,8,PayPal,Monthly,Senior,30
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,"Next Day Air",Yes,44,"Debit Card",Bi-Weekly,"Young Adult",14
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,"2-Day Shipping",Yes,36,Venmo,Quarterly,"Middle Aged",90
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,"Free Shipping",Yes,17,Cash,Weekly,"Middle Aged",NULL
20,66,Male,Pants,Clothing,90,"Rhode Island",M,Green,Summer,3.3,Yes,Standard,Yes,46,"Debit Card",Bi-Weekly,Senior,14
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,"Every 3 Months","Young Adult",90
22,31,Male,Pants,Clothing,62,"North Carolina",M,Charcoal,Winter,4.1,Yes,"Store Pickup",Yes,22,"Debit Card",Quarterly,"Young Adult",90
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,"Store Pickup",Yes,32,"Debit Card",Annually,"Middle Aged",365
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,"Credit Card",Weekly,"Young Adult",NULL
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,"Store Pickup",Yes,16,"Debit Card",Weekly,"Young Adult",NULL
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,"Young Adult",365
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,"Next Day Air",Yes,13,"Credit Card",Annually,Adult,365
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,"Next Day Air",Yes,7,"Bank Transfer","Every 3 Months","Middle Aged",90
29,54,Male,Handbag,Accessories,94,"North Carolina",M,Gray,Fall,4.4,Yes,"Free Shipping",Yes,41,PayPal,"Every 3 Months","Middle Aged",90
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,"Store Pickup",Yes,14,"Credit Card",Weekly,"Young Adult",NULL
31,57,Male,Jewelry,Accessories,31,"North Carolina",L,Black,Winter,4.7,Yes,Standard,Yes,16,"Credit Card",Monthly,"Middle Aged",30
32,33,Male,Dress,Clothing,79,"West Virginia",L,Brown,Winter,4.7,Yes,"Store Pickup",Yes,45,Venmo,Monthly,Adult,30
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,"Free Shipping",Yes,37,Venmo,Annually,Adult,365
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,"Store Pickup",Yes,45,Cash,Quarterly,"Middle Aged",90
35,36,Male,T-shirt,Clothing,91,"North Dakota",L,Violet,Spring,4.6,Yes,"2-Day Shipping",Yes,38,PayPal,Quarterly,Adult,90
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,"2-Day Shipping",Yes,48,"Credit Card",Bi-Weekly,"Middle Aged",14
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,"Free Shipping",Yes,44,PayPal,Fortnightly,Adult,14
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,"Store Pickup",Yes,10,PayPal,Weekly,Adult,NULL
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,"2-Day Shipping",Yes,44,Venmo,"Every 3 Months","Young Adult",90
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,"Credit Card",Monthly,Senior,30
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,"Next Day Air",Yes,31,"Debit Card",Quarterly,Senior,90
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Senior,365
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,"Free Shipping",Yes,15,PayPal,Annually,"Young Adult",365
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,"Store Pickup",Yes,19,PayPal,Fortnightly,"Young Adult",14
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,"Free Shipping",Yes,45,PayPal,Weekly,Adult,NULL
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,"2-Day Shipping",Yes,25,PayPal,Annually,"Middle Aged",365
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,"Store Pickup",Yes,45,Cash,Quarterly,"Middle Aged",90
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,"Free Shipping",Yes,36,Cash,Weekly,"Middle Aged",NULL
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,"Store Pickup",Yes,38,Cash,Monthly,Adult,30
50,68,Male,Hoodie,Clothing,30,"New Jersey",S,Indigo,Spring,4.6,Yes,"Next Day Air",Yes,34,"Debit Card",Bi-Weekly,Senior,14
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,"Store Pickup",Yes,39,"Debit Card",Bi-Weekly,"Middle Aged",14
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,"2-Day Shipping",Yes,7,"Credit Card",Quarterly,Senior,90
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,"Free Shipping",Yes,26,"Credit Card",Weekly,Adult,NULL
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,"Next Day Air",Yes,35,"Credit Card",Weekly,"Young Adult",NULL
55,47,Male,Coat,Outerwear,94,"New Mexico",M,Brown,Summer,4.2,Yes,"Next Day Air",Yes,35,"Debit Card",Bi-Weekly,"Middle Aged",14
56,40,Male,Jacket,Outerwear,28,"South Carolina",M,Lavender,Winter,3,Yes,"2-Day Shipping",Yes,49,"Credit Card",Annually,Adult,365
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,"Store Pickup",Yes,46,"Credit Card",Weekly,Adult,NULL
58,21,Male,Coat,Outerwear,64,"West Virginia",M,White,Summer,4.4,Yes,"Store Pickup",Yes,17,"Debit Card",Fortnightly,"Young Adult",14
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,"Free Shipping",Yes,29,Venmo,Monthly,Senior,30
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,"Debit Card",Weekly,Senior,NULL
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,17,Cash,Weekly,"Middle Aged",NULL
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,"Store Pickup",Yes,21,"Credit Card","Every 3 Months","Middle Aged",90
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,"Free Shipping",Yes,31,"Credit Card",Fortnightly,"Young Adult",14
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,"2-Day Shipping",Yes,43,"Credit Card",Weekly,Adult,NULL
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,"Debit Card",Fortnightly,Senior,14
66,65,Male,Backpack,Accessories,36,"New Jersey",M,Purple,Spring,4.8,Yes,"2-Day Shipping",Yes,44,Venmo,"Every 3 Months",Senior,90
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,"2-Day Shipping",Yes,3,Venmo,"Every 3 Months","Young Adult",90
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,"Store Pickup",Yes,49,"Debit Card",Monthly,"Middle Aged",30
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,"Next Day Air",Yes,21,Cash,"Every 3 Months","Middle Aged",90
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,"Middle Aged",NULL
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,"Debit Card","Every 3 Months","Young Adult",90
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,"Bank Transfer",Annually,Adult,365
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,"Store Pickup",Yes,21,"Bank Transfer","Every 3 Months","Young Adult",90
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,"Free Shipping",Yes,43,"Bank Transfer",Bi-Weekly,"Middle Aged",14
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,"Middle Aged",30
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,"Free Shipping",Yes,21,"Credit Card",Annually,Senior,365
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,"Free Shipping",Yes,32,Venmo,Monthly,"Middle Aged",30
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,"Next Day Air",Yes,36,"Debit Card",Fortnightly,"Young Adult",14
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,"Free Shipping",Yes,50,Venmo,Fortnightly,"Middle Aged",14
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,"2-Day Shipping",Yes,43,"Bank Transfer","Every 3 Months",Adult,90
81,19,Male,Sandals,Footwear,72,"New York",XL,Blue,Summer,3.8,Yes,"Store Pickup",Yes,24,"Credit Card","Every 3 Months","Young Adult",90
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,"Credit Card","Every 3 Months",Senior,90
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,"2-Day Shipping",Yes,21,"Credit Card","Every 3 Months","Young Adult",90
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,"Bank Transfer",Weekly,Adult,NULL
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,"Bank Transfer","Every 3 Months","Middle Aged",90
86,53,Male,Sunglasses,Accessories,95,"New Mexico",M,Charcoal,Winter,4.5,Yes,"Next Day Air",Yes,2,"Debit Card",Bi-Weekly,"Middle Aged",14
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,"2-Day Shipping",Yes,47,Cash,Bi-Weekly,"Young Adult",14
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,"2-Day Shipping",Yes,44,"Debit Card",Fortnightly,"Middle Aged",14
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,"Free Shipping",Yes,35,"Credit Card",Monthly,Adult,30
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,"Next Day Air",Yes,15,Cash,Quarterly,"Middle Aged",90
91,25,Male,Hat,Accessories,48,"South Carolina",L,Violet,Summer,2.9,Yes,Express,Yes,29,"Credit Card",Monthly,"Young Adult",30
92,44,Male,Scarf,Accessories,99,"South Carolina",S,Green,Winter,4.6,Yes,Standard,Yes,18,"Credit Card","Every 3 Months",Adult,90
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,"2-Day Shipping",Yes,13,Venmo,"Every 3 Months",Senior,90
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,"Credit Card",Weekly,Adult,NULL
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,"Free Shipping",Yes,28,"Credit Card",Weekly,Senior,NULL
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,"Free Shipping",Yes,48,PayPal,Monthly,Adult,30
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,"Every 3 Months",Adult,90
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,"Store Pickup",Yes,37,Cash,Annually,"Young Adult",365
99,20,Male,Jeans,Clothing,67,"New York",XL,Teal,Spring,2.6,Yes,"Next Day Air",Yes,20,"Bank Transfer",Annually,"Young Adult",365
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,"Debit Card",Quarterly,"Young Adult",90
101,62,Male,Sunglasses,Accessories,98,"South Dakota",M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,Senior,14
102,27,Male,Coat,Outerwear,85,"North Dakota",XL,White,Spring,4.6,Yes,Express,Yes,50,"Credit Card",Bi-Weekly,"Young Adult",14
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,"Next Day Air",Yes,35,"Credit Card",Quarterly,"Middle Aged",90
104,54,Male,Boots,Footwear,89,"West Virginia",L,Red,Winter,4,Yes,"Next Day Air",Yes,22,Venmo,Bi-Weekly,"Middle Aged",14
105,55,Male,Sunglasses,Accessories,24,"New Hampshire",L,Pink,Spring,4.4,Yes,"2-Day Shipping",Yes,1,PayPal,Monthly,"Middle Aged",30
106,69,Male,Backpack,Accessories,96,"New York",M,Charcoal,Fall,3.6,Yes,"Next Day Air",Yes,4,"Bank Transfer",Annually,Senior,365
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,"Credit Card",Monthly,Senior,30
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,"Next Day Air",Yes,46,PayPal,Fortnightly,"Young Adult",14
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,"Next Day Air",Yes,32,"Bank Transfer",Bi-Weekly,Senior,14
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,"Next Day Air",Yes,43,"Bank Transfer",Fortnightly,Senior,14
111,56,Male,Backpack,Accessories,26,"New York",M,Black,Summer,4,Yes,Standard,Yes,26,Venmo,Fortnightly,"Middle Aged",14
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,Yes,"Free Shipping",Yes,9,"Credit Card",Annually,"Young Adult",365
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,"Free Shipping",Yes,28,PayPal,Bi-Weekly,Adult,14
114,44,Male,Hat,Accessories,54,"New Jersey",L,Maroon,Winter,3.1,Yes,"Next Day Air",Yes,20,PayPal,Quarterly,Adult,90
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,"Store Pickup",Yes,9,Cash,Weekly,Senior,NULL
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,48,"Debit Card","Every 3 Months","Middle Aged",90
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,"Free Shipping",Yes,12,Venmo,Annually,"Middle Aged",365
118,50,Male,Sandals,Footwear,32,"South Dakota",L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,"Middle Aged",14
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,"2-Day Shipping",Yes,27,Cash,Bi-Weekly,"Middle Aged",14
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,Adult,365
121,64,Male,Hat,Accessories,84,"West Virginia",L,Red,Summer,4,Yes,Express,Yes,32,"Bank Transfer",Annually,Senior,365
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,"Young Adult",14
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,"2-Day Shipping",Yes,44,Cash,Fortnightly,Adult,14
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,"Free Shipping",Yes,46,Cash,Weekly,"Middle Aged",NULL
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,"Next Day Air",Yes,50,PayPal,Annually,Adult,365
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,"Next Day Air",Yes,45,Venmo,"Every 3 Months","Middle Aged",90
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,"Store Pickup",Yes,48,Cash,"Every 3 Months",Adult,90
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,"Next Day Air",Yes,26,"Credit Card",Weekly,"Young Adult",NULL
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,21,"Credit Card",Fortnightly,"Young Adult",14
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,"2-Day Shipping",Yes,49,PayPal,Bi-Weekly,"Young Adult",14
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,"Next Day Air",Yes,13,PayPal,Fortnightly,Adult,14
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,46,"Credit Card",Weekly,"Young Adult",NULL
133,30,Male,Backpack,Accessories,58,"New Mexico",M,Orange,Fall,4.7,Yes,"2-Day Shipping",Yes,42,PayPal,Weekly,"Young Adult",NULL
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,"Next Day Air",Yes,25,Venmo,Annually,"Middle Aged",365
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,"Store Pickup",Yes,25,Cash,Monthly,Adult,30
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,12,PayPal,Quarterly,Adult,90
137,39,Male,Blouse,Clothing,86,"South Carolina",M,White,Winter,3.3,Yes,"Free Shipping",Yes,4,"Debit Card",Quarterly,Adult,90
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,"Free Shipping",Yes,38,PayPal,Weekly,Senior,NULL
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,"Store Pickup",Yes,42,"Bank Transfer",Weekly,Senior,NULL
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,"Store Pickup",Yes,30,Venmo,Annually,"Middle Aged",365
141,63,Male,Shirt,Clothing,28,"North Carolina",L,Yellow,Fall,3.9,Yes,"2-Day Shipping",Yes,50,"Credit Card",Weekly,Senior,NULL
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,"Free Shipping",Yes,45,PayPal,Weekly,"Middle Aged",NULL
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,"Free Shipping",Yes,33,"Credit Card",Fortnightly,Adult,14
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,"Store Pickup",Yes,25,PayPal,Quarterly,"Young Adult",90
145,19,Male,Shoes,Footwear,43,"New Jersey",M,Silver,Fall,3.2,Yes,Express,Yes,25,Cash,Monthly,"Young Adult",30
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,"Debit Card",Quarterly,"Young Adult",90
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4,Yes,Standard,Yes,21,Venmo,Fortnightly,"Middle Aged",14
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,"2-Day Shipping",Yes,31,"Bank Transfer",Fortnightly,Senior,14
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,"Store Pickup",Yes,47,"Debit Card",Annually,Adult,365
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,"Free Shipping",Yes,14,PayPal,Monthly,Adult,30
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,17,"Debit Card","Every 3 Months",Adult,90
152,28,Male,Sunglasses,Accessories,47,"North Dakota",L,Turquoise,Fall,4.5,Yes,"Next Day Air",Yes,3,Venmo,Annually,"Young Adult",365
153,30,Male,Shirt,Clothing,85,"South Carolina",S,Brown,Summer,4.3,Yes,Express,Yes,42,Venmo,Annually,"Young Adult",365
154,69,Male,Hoodie,Clothing,55,"North Carolina",M,Maroon,Winter,3.2,Yes,Standard,Yes,22,"Debit Card",Annually,Senior,365
155,41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,"Next Day Air",Yes,21,Venmo,Quarterly,Adult,90
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,"Free Shipping",Yes,21,"Bank Transfer",Quarterly,Senior,90
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4,Yes,Standard,Yes,40,"Debit Card",Annually,Adult,365
158,36,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3,Yes,"Next Day Air",Yes,1,"Bank Transfer",Fortnightly,Adult,14
159,25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,50,"Bank Transfer",Monthly,"Young Adult",30
160,58,Male,Gloves,Accessories,27,"New Hampshire",M,Charcoal,Fall,3.8,Yes,"Store Pickup",Yes,39,"Bank Transfer","Every 3 Months",Senior,90
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,"Free Shipping",Yes,34,Venmo,Monthly,"Young Adult",30
162,65,Male,Backpack,Accessories,49,"North Dakota",M,Olive,Fall,3,Yes,Express,Yes,29,Venmo,Fortnightly,Senior,14
163,54,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3,Yes,"Store Pickup",Yes,31,PayPal,Bi-Weekly,"Middle Aged",14
164,54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,8,"Debit Card",Weekly,"Middle Aged",NULL
165,59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,"Free Shipping",Yes,5,"Credit Card",Fortnightly,Senior,14
166,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,"Store Pickup",Yes,7,Cash,Monthly,Adult,30
167,46,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4,Yes,"Store Pickup",Yes,30,Cash,Monthly,"Middle Aged",30
168,33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,Yes,Express,Yes,14,"Credit Card","Every 3 Months",Adult,90
169,34,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3,Yes,Express,Yes,5,Cash,Fortnightly,Adult,14
170,27,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Yes,Standard,Yes,3,PayPal,"Every 3 Months","Young Adult",90
171,52,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Yes,"Store Pickup",Yes,46,Venmo,Bi-Weekly,"Middle Aged",14
172,29,Male,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Yes,"Store Pickup",Yes,4,"Credit Card",Weekly,"Young Adult",NULL
173,54,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Yes,"Next Day Air",Yes,42,"Credit Card",Bi-Weekly,"Middle Aged",14
174,25,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,Yes,30,Cash,Annually,"Young Adult",365
175,41,Male,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,Yes,Express,Yes,37,Venmo,Annually,Adult,365
176,53,Male,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Yes,"Next Day Air",Yes,2,"Bank Transfer",Annually,"Middle Aged",365
177,53,Male,Backpack,Accessories,81,"New Hampshire",L,Black,Spring,2.7,Yes,"Next Day Air",Yes,30,"Credit Card",Quarterly,"Middle Aged",90
178,21,Male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Yes,"Next Day Air",Yes,47,"Bank Transfer",Monthly,"Young Adult",30
179,61,Male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,Yes,"2-Day Shipping",Yes,21,PayPal,Quarterly,Senior,90
180,64,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,"Store Pickup",Yes,9,"Bank Transfer",Fortnightly,Senior,14
181,51,Male,Sandals,Footwear,81,"South Dakota",L,Green,Fall,3.3,Yes,"Store Pickup",Yes,12,"Debit Card",Fortnightly,"Middle Aged",14
